t_sec,pid,parent,name,ws_mb,pb_mb
95.3,25792,33052,msedgewebview2.exe,22.6,8.9
95.3,4360,33052,msedgewebview2.exe,222.4,145.3
100.5,26348,36732,audio-desktop.exe,50.6,14.4
100.5,33052,26348,msedgewebview2.exe,150.2,50.4
100.5,15880,26348,audio_server.exe,222.4,287.1
100.5,34040,33052,msedgewebview2.exe,14.2,3
100.5,18344,34040,msedgewebview2.exe,13.5,2.8
100.5,13020,33052,msedgewebview2.exe,104.4,120.9
100.5,34932,33052,msedgewebview2.exe,42.2,13
100.5,25792,33052,msedgewebview2.exe,22.6,8.9
100.5,4360,33052,msedgewebview2.exe,222.2,145.3
105.8,26348,36732,audio-desktop.exe,50.6,14.4
105.8,33052,26348,msedgewebview2.exe,150.2,50.4
105.8,15880,26348,audio_server.exe,222.4,287.1
105.8,34040,33052,msedgewebview2.exe,14.2,3
105.8,18344,34040,msedgewebview2.exe,13.5,2.8
105.8,13020,33052,msedgewebview2.exe,104.4,120.9
105.8,34932,33052,msedgewebview2.exe,42.2,13
105.8,25792,33052,msedgewebview2.exe,22.6,8.9
105.8,4360,33052,msedgewebview2.exe,222.2,145.3
111,26348,36732,audio-desktop.exe,50.6,14.4
111,33052,26348,msedgewebview2.exe,150.3,50.5
111,15880,26348,audio_server.exe,222.4,287.1
111,34040,33052,msedgewebview2.exe,14.2,3
111,18344,34040,msedgewebview2.exe,13.5,2.8
111,13020,33052,msedgewebview2.exe,104.4,120.8
111,34932,33052,msedgewebview2.exe,42.2,13
111,25792,33052,msedgewebview2.exe,22.6,8.8
111,4360,33052,msedgewebview2.exe,222.2,145.3
116.3,26348,36732,audio-desktop.exe,50.6,14.4
116.3,33052,26348,msedgewebview2.exe,150.3,50.5
116.3,15880,26348,audio_server.exe,222.4,287
116.3,34040,33052,msedgewebview2.exe,14.2,3
116.3,18344,34040,msedgewebview2.exe,13.5,2.7
116.3,13020,33052,msedgewebview2.exe,104.4,120.8
116.3,34932,33052,msedgewebview2.exe,42.2,12.9
116.3,25792,33052,msedgewebview2.exe,22.6,8.9
116.3,4360,33052,msedgewebview2.exe,221.4,145.2
121.5,26348,36732,audio-desktop.exe,50.6,14.4
121.5,33052,26348,msedgewebview2.exe,150.3,50.5
121.5,15880,26348,audio_server.exe,222.4,287
121.5,34040,33052,msedgewebview2.exe,14.2,3
121.5,18344,34040,msedgewebview2.exe,13.5,2.7
121.5,13020,33052,msedgewebview2.exe,104.4,120.8
121.5,34932,33052,msedgewebview2.exe,42.2,12.9
121.5,25792,33052,msedgewebview2.exe,22.6,8.9
121.5,4360,33052,msedgewebview2.exe,221.4,145.2
126.7,26348,36732,audio-desktop.exe,50.6,14.4
126.7,33052,26348,msedgewebview2.exe,150.3,50.5
126.7,15880,26348,audio_server.exe,222.4,287
126.7,34040,33052,msedgewebview2.exe,14.2,3
126.7,18344,34040,msedgewebview2.exe,13.5,2.7
126.7,13020,33052,msedgewebview2.exe,104.4,120.8
126.7,34932,33052,msedgewebview2.exe,42.2,12.9
126.7,25792,33052,msedgewebview2.exe,22.6,8.9
126.7,4360,33052,msedgewebview2.exe,221.4,145.2
132,26348,36732,audio-desktop.exe,50.6,14.4
132,33052,26348,msedgewebview2.exe,150.3,50.5
132,15880,26348,audio_server.exe,222.4,287
132,34040,33052,msedgewebview2.exe,14.2,3
132,18344,34040,msedgewebview2.exe,13.5,2.7
132,13020,33052,msedgewebview2.exe,104.4,120.8
132,34932,33052,msedgewebview2.exe,42.2,12.9
132,25792,33052,msedgewebview2.exe,22.6,8.9
132,4360,33052,msedgewebview2.exe,221.4,145.2
137.2,26348,36732,audio-desktop.exe,50.6,14.4
137.2,33052,26348,msedgewebview2.exe,150.3,50.5
137.2,15880,26348,audio_server.exe,222.4,287
137.2,34040,33052,msedgewebview2.exe,14.2,3
137.2,18344,34040,msedgewebview2.exe,13.5,2.7
137.2,13020,33052,msedgewebview2.exe,104.3,120.8
137.2,34932,33052,msedgewebview2.exe,42.1,12.9
137.2,25792,33052,msedgewebview2.exe,22.6,8.9
137.2,4360,33052,msedgewebview2.exe,221.4,145.2
142.5,26348,36732,audio-desktop.exe,50.6,14.4
142.5,33052,26348,msedgewebview2.exe,150.3,50.5
142.5,15880,26348,audio_server.exe,222.4,287
142.5,34040,33052,msedgewebview2.exe,14.2,3
142.5,18344,34040,msedgewebview2.exe,13.5,2.7
142.5,13020,33052,msedgewebview2.exe,103.7,120.8
142.5,34932,33052,msedgewebview2.exe,42.1,12.9
142.5,25792,33052,msedgewebview2.exe,22.6,8.9
142.5,4360,33052,msedgewebview2.exe,221,145.2
147.7,26348,36732,audio-desktop.exe,50.6,14.4
147.7,33052,26348,msedgewebview2.exe,150.3,50.5
147.7,15880,26348,audio_server.exe,222.4,287
147.7,34040,33052,msedgewebview2.exe,14.2,3
147.7,18344,34040,msedgewebview2.exe,13.5,2.7
147.7,13020,33052,msedgewebview2.exe,103.7,120.8
147.7,34932,33052,msedgewebview2.exe,42.1,12.9
147.7,25792,33052,msedgewebview2.exe,22.6,8.9
147.7,4360,33052,msedgewebview2.exe,221,145.2
153,26348,36732,audio-desktop.exe,50.6,14.4
153,33052,26348,msedgewebview2.exe,150.3,50.5
153,15880,26348,audio_server.exe,222.4,287
153,34040,33052,msedgewebview2.exe,14.2,3
153,18344,34040,msedgewebview2.exe,13.5,2.7
153,13020,33052,msedgewebview2.exe,103.7,120.8
153,34932,33052,msedgewebview2.exe,42.1,12.9
153,25792,33052,msedgewebview2.exe,22.6,8.9
153,4360,33052,msedgewebview2.exe,221,145.2
158.2,26348,36732,audio-desktop.exe,50.6,14.4
158.2,33052,26348,msedgewebview2.exe,150.3,50.5
158.2,15880,26348,audio_server.exe,222.4,287.1
158.2,34040,33052,msedgewebview2.exe,14.2,3
158.2,18344,34040,msedgewebview2.exe,13.5,2.7
158.2,13020,33052,msedgewebview2.exe,103.7,120.8
158.2,34932,33052,msedgewebview2.exe,42.1,12.9
158.2,25792,33052,msedgewebview2.exe,22.6,8.9
158.2,4360,33052,msedgewebview2.exe,221,145.2
163.5,26348,36732,audio-desktop.exe,50.6,14.4
163.5,33052,26348,msedgewebview2.exe,150.3,50.5
163.5,15880,26348,audio_server.exe,222.4,287
163.5,34040,33052,msedgewebview2.exe,14.2,3
163.5,18344,34040,msedgewebview2.exe,13.5,2.8
163.5,13020,33052,msedgewebview2.exe,103.7,120.8
163.5,34932,33052,msedgewebview2.exe,42.1,12.9
163.5,25792,33052,msedgewebview2.exe,22.6,8.8
163.5,4360,33052,msedgewebview2.exe,221,145.2
168.7,26348,36732,audio-desktop.exe,50.6,14.4
168.7,33052,26348,msedgewebview2.exe,150.3,50.5
168.7,15880,26348,audio_server.exe,222.4,287
168.7,34040,33052,msedgewebview2.exe,14.2,3
168.7,18344,34040,msedgewebview2.exe,13.5,2.8
168.7,13020,33052,msedgewebview2.exe,103.7,120.8
168.7,34932,33052,msedgewebview2.exe,42.1,12.9
168.7,25792,33052,msedgewebview2.exe,22.6,8.8
168.7,4360,33052,msedgewebview2.exe,221,145.2
173.9,26348,36732,audio-desktop.exe,50.6,14.4
173.9,33052,26348,msedgewebview2.exe,150.3,50.5
